Model,Group,Language,Question ID,Formulation,Choice Set
gpt,Kurden,de,question7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,question4,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,question15,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Kurden,de,question14,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,question11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,question10,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question8,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question7,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question6,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question6,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Katalanen,de,question14,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Katalanen,de,question14,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Katalanen,de,question12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question12,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question10,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Catalans,en,question2,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Catalans,en,question11,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
